"","logFC","logCPM","F","PValue","FDR","flag"
"FBgn0031805",-0.977976936349676,8.26056023445814,113.529323659431,1.87912597755445e-07,0.000654816772094792,"DOWN"
"FBgn0031042",-1.36063046153623,4.31853929212955,99.3225518236087,3.87563134430287e-07,0.000654816772094792,"DOWN"
"FBgn0039923",1.02110799627095,7.30082805978874,98.8649653323877,3.97013961371422e-07,0.000654816772094792,"UP"
"FBgn0034588",-1.09500182463141,7.65691175034639,96.3301655788103,4.56383984403137e-07,0.000654816772094792,"DOWN"
"FBgn0026401",1.06712720405733,7.74797953892201,96.2404820722924,4.58667385357793e-07,0.000654816772094792,"UP"
"FBgn0039959",0.946653375685249,8.15408276624549,95.630306941051,4.74562221593037e-07,0.000654816772094792,"UP"
"FBgn0051706",-0.995079037303632,7.04427354915819,91.0119698330796,6.18168932316181e-07,0.000731117227235094,"DOWN"
"FBgn0039332",-0.882487945864677,6.07029526267205,83.9257540694148,9.50181882224463e-07,0.000961419163301989,"DOWN"
"FBgn0053554",1.10624361542016,7.05938058969892,82.4233260746457,1.04514705516583e-06,0.000961419163301989,"UP"
"FBgn0052000",0.863052104361954,9.76195501169407,77.5097747558316,1.44309459281364e-06,0.00109060071184036,"UP"
"FBgn0011666",1.14758115014559,7.56381876791848,77.103539164199,1.48329147032649e-06,0.00109060071184036,"UP"
"FBgn0259216",0.767488726117503,5.7854475773412,76.1696840238009,1.58077165624886e-06,0.00109060071184036,"UP"
"FBgn0000384",1.06842310761788,4.98416996329789,74.8746568335057,1.7288979690007e-06,0.00110104202195052,"UP"
"FBgn0033010",1.11747228879829,6.58065684205397,68.8598053893235,2.66711258837671e-06,0.00157721607994077,"UP"
"FBgn0025936",0.756914490070956,8.12319385585563,65.0037428603334,3.58446697320338e-06,0.00187498124890303,"UP"
"FBgn0266347",0.792229932867055,7.36857154919767,64.5150446135749,3.72529053640581e-06,0.00187498124890303,"UP"
"FBgn0267861",0.667147580657601,7.51015614309323,63.312551971261,4.10020307396878e-06,0.00187498124890303,"UP"
"FBgn0003890",-0.603174449420932,6.86097426658671,63.1354893371389,4.15905925024087e-06,0.00187498124890303,"DOWN"
"FBgn0033005",1.04551930154888,7.3026007784049,62.7144229051203,4.30301289155183e-06,0.00187498124890303,"UP"
"FBgn0032706",-0.729482718123859,4.49760907255312,60.6471925280576,5.10181457937201e-06,0.00206575407510792,"DOWN"
"FBgn0267431",1.1622253014552,3.17829994640161,60.3430797891088,5.23986418375001e-06,0.00206575407510792,"UP"
"FBgn0039928",0.944615508719591,9.02442301241022,59.3100722768824,5.70764287477315e-06,0.00214788978910213,"UP"
"FBgn0034128",-0.761680154517977,5.8615428235365,58.470938793583,6.1322057803371e-06,0.00217638853839652,"DOWN"
"FBgn0019985",0.669433065764674,7.41102849448975,57.4566527169554,6.69544510041902e-06,0.00217638853839652,"UP"
"FBgn0266227",1.0931829210834,7.19233959687357,57.3027806218994,6.78608614263695e-06,0.00217638853839652,"UP"
"FBgn0053978",1.03028028481107,5.76837175193215,56.4965666879629,7.28531986425357e-06,0.00217638853839652,"UP"
"FBgn0058178",1.08492687498384,7.87545075426855,56.2966904496856,7.41530701251536e-06,0.00217638853839652,"UP"
"FBgn0038826",0.714869392727101,8.40078589660423,55.9749225699857,7.630751368785e-06,0.00217638853839652,"UP"
"FBgn0026206",0.772977444761544,8.13125047549493,55.8569626778128,7.71156071840833e-06,0.00217638853839652,"UP"
"FBgn0032402",-0.522755724290523,6.07767932820658,55.6066507253694,7.8864181847923e-06,0.00217638853839652,"NotSig"
"FBgn0039890",0.759965503362458,7.96283242045022,54.8788952435572,8.42151768618567e-06,0.00224908854593326,"UP"
"FBgn0035575",-1.41163109572774,3.25455122697005,53.0984112206462,9.9351693050474e-06,0.00257041458364023,"DOWN"
"FBgn0029508",1.02092060813521,5.4950299492373,51.0694885208338,1.2023611697567e-05,0.00301646912861082,"UP"
"FBgn0039920",0.691092137446099,7.10742335469246,49.251011751121,1.43613396739916e-05,0.00326690590433437,"UP"
"FBgn0086378",0.868028482594921,5.22945580418894,49.1836133055664,1.44593372401079e-05,0.00326690590433437,"UP"
"FBgn0264329",1.35520344467306,2.13087888095947,49.2326738603144,1.44787020974281e-05,0.00326690590433437,"UP"
"FBgn0040297",0.860043991422412,6.91812571750538,47.9098773374565,1.64301896145491e-05,0.00326690590433437,"UP"
"FBgn0036165",0.913435805382962,7.65726030605801,47.7808316508333,1.66470092589757e-05,0.00326690590433437,"UP"
"FBgn0030258",-0.775978530363457,7.35401130981709,47.6903652868733,1.68010234446308e-05,0.00326690590433437,"DOWN"
"FBgn0028494",1.71780391597879,2.46421699311991,47.7239922034256,1.68321019664614e-05,0.00326690590433437,"UP"
"FBgn0011747",0.570503333663415,9.39869342083724,47.5227026266883,1.70908555890309e-05,0.00326690590433437,"NotSig"
"FBgn0262477",0.54839304045806,7.68669265514588,47.515708940723,1.71030819848066e-05,0.00326690590433437,"NotSig"
"FBgn0086362",-0.644983571300754,4.38626938175325,47.395176718038,1.73203862599199e-05,0.00326690590433437,"DOWN"
"FBgn0038641",0.859864989203083,5.80495617273137,47.3686726821366,1.73624664561798e-05,0.00326690590433437,"UP"
"FBgn0262509",0.737537728841551,8.19882924243247,46.9554926955529,1.81156706998166e-05,0.00333288083830626,"UP"
"FBgn0027865",0.733155654399187,6.22099671287643,45.683839264366,2.06858014401677e-05,0.00366804338869893,"UP"
"FBgn0050419",0.636423288083388,5.62401563628144,45.6210262778832,2.08235341549523e-05,0.00366804338869893,"UP"
"FBgn0037895",-0.719097075601853,5.06223051375165,45.2948356254284,2.1557661500051e-05,0.00370257230834323,"DOWN"
"FBgn0031808",-0.811886602239194,5.9727213073151,45.0847430584129,2.20429079591817e-05,0.00370257230834323,"DOWN"
"FBgn0039902",0.632891831604336,6.76274131203218,44.9503956455511,2.23612290635538e-05,0.00370257230834323,"UP"
"FBgn0003435",0.709138824970535,8.69550722595545,44.5115362129018,2.34394640628536e-05,0.00377486341949776,"UP"
"FBgn0026262",0.548979004858095,8.1146851343105,44.4052273529647,2.37097352112433e-05,0.00377486341949776,"NotSig"
"FBgn0026086",0.750792244147359,7.95134325181505,43.6401035859588,2.57660066408311e-05,0.0037847927599435,"UP"
"FBgn0038617",-0.427701118671357,6.01664507746563,43.6391439177526,2.57688483348628e-05,0.0037847927599435,"NotSig"
"FBgn0046706",1.00462220654985,4.66942233426843,43.6083987639104,2.58619963430554e-05,0.0037847927599435,"UP"
"FBgn0031760",0.867124834021081,4.09236928514033,43.5885606041584,2.59221602589698e-05,0.0037847927599435,"UP"
"FBgn0261403",0.676643486021064,8.13925017890996,43.5372982845042,2.60578798546659e-05,0.0037847927599435,"UP"
"FBgn0039958",0.690414444851188,6.33383545159391,43.2857074188844,2.67887174437546e-05,0.00382385847787662,"UP"
"FBgn0004919",0.540886866503889,8.72166171789561,42.8462774572534,2.81231570113286e-05,0.00394629859147101,"NotSig"
"FBgn0262123",0.955203439741868,4.14851213346029,42.573743154098,2.90005378125128e-05,0.00400159087582989,"UP"
"FBgn0036202",0.4977084349523,7.00605688281607,42.1360814478241,3.04479140627246e-05,0.00405641613885944,"NotSig"
"FBgn0051221",0.595163614540555,8.9587212848816,42.0625425338384,3.07011812936462e-05,0.00405641613885944,"UP"
"FBgn0040324",0.738511609492334,7.03157040021554,42.0145791163514,3.08677638299487e-05,0.00405641613885944,"UP"
"FBgn0263780",0.536838582639353,5.98343525947143,41.8529697085721,3.14368649914377e-05,0.00406665320725176,"NotSig"
"FBgn0030510",-0.586891561289488,5.05055570437886,41.5751067025388,3.24470584167407e-05,0.00413275687126456,"DOWN"
"FBgn0045800",1.44439303420338,3.92329095929988,41.0940298760864,3.42984732196835e-05,0.00418783397483176,"UP"
"FBgn0058263",0.894692268044056,5.25386305713288,41.0664792247082,3.43900502813974e-05,0.00418783397483176,"UP"
"FBgn0040007",1.09357496544302,7.83618672808112,41.0638902116467,3.4396993633115e-05,0.00418783397483176,"UP"
"FBgn0083228",0.560369591920102,7.19577017729862,40.5558685033628,3.64754034074527e-05,0.00437101317612773,"NotSig"
"FBgn0040022",0.516304485110196,7.41817244770613,40.4428581593426,3.69574734060806e-05,0.00437101317612773,"NotSig"
"FBgn0028397",0.608833101662,7.28693782150744,40.1313258477019,3.83254506559194e-05,0.00442563991524497,"UP"
"FBgn0262117",0.711192635149556,7.04691088363205,40.0950719087654,3.84884737163472e-05,0.00442563991524497,"UP"
"FBgn0265974",0.495522536039651,6.21195969858407,39.7883928344199,3.99003722018939e-05,0.00452513947204766,"NotSig"
"FBgn0039927",0.663940024905273,9.2135100698675,38.867398647397,4.4518202753169e-05,0.00492102271867203,"UP"
"FBgn0038321",-0.469871411193756,6.47565379943094,38.7239208103238,4.529266937195e-05,0.00492102271867203,"NotSig"
"FBgn0025741",0.70203268945881,8.23453850793837,38.7190171581853,4.53192979384017e-05,0.00492102271867203,"UP"
"FBgn0052017",0.617281380376069,7.83451263521177,38.6371204285953,4.57686615941232e-05,0.00492102271867203,"UP"
"FBgn0262124",0.744482005036391,7.02940022172645,38.330620247748,4.74972706834379e-05,0.00504140902548952,"UP"
"FBgn0083956",0.751530578218381,7.04231568830765,37.8634665717635,5.02808348482289e-05,0.00521977454788225,"UP"
"FBgn0033802",1.05077335729364,4.08221723386118,37.6986655735702,5.13306215452877e-05,0.00521977454788225,"UP"
"FBgn0014859",0.817200574545695,4.85721229035839,37.618222450779,5.18262267515385e-05,0.00521977454788225,"UP"
"FBgn0027844",-0.407233670703807,8.13781901433729,37.6154152625184,5.18360991311304e-05,0.00521977454788225,"NotSig"
"FBgn0042696",0.621256183269569,7.91580655791262,37.5293836242628,5.23886170839024e-05,0.00521977454788225,"UP"
"FBgn0027101",0.669472741336083,7.72881971563022,37.4414260905768,5.29606307551768e-05,0.00521977454788225,"UP"
"FBgn0036146",-0.953079708481405,5.0428472008397,37.2891380380224,5.39744492643939e-05,0.00525711135835197,"DOWN"
"FBgn0086372",0.6510681995255,8.39261181943655,36.9752386376454,5.61169875506298e-05,0.00534220736378856,"UP"
"FBgn0266409",0.567203297424053,6.86132567235287,36.9721544524676,5.61386689998314e-05,0.00534220736378856,"NotSig"
"FBgn0036381",-0.554841675092879,6.52234595218351,36.7638035966845,5.76208008120005e-05,0.00542093874911991,"NotSig"
"FBgn0041087",-0.85027552210729,4.64416404619408,36.5466954239416,5.92265338965694e-05,0.00547929812953056,"DOWN"
"FBgn0035538",0.560701366249545,9.59122236104824,36.4959594763742,5.95936164119063e-05,0.00547929812953056,"NotSig"
"FBgn0025740",0.654642349093363,6.51269129835293,36.41223522036,6.02266130918325e-05,0.00547929812953056,"UP"
"FBgn0083970",-0.799599676486496,6.87744740011937,36.2858418032914,6.11968499120588e-05,0.00549390551157474,"DOWN"
"FBgn0035099",0.513135931230749,4.581695949414,36.2207586079054,6.17143631569575e-05,0.00549390551157474,"NotSig"
"FBgn0029837",-0.755058567498826,6.60245515400939,36.0593397124427,6.29817834665667e-05,0.00551752509473778,"DOWN"
"FBgn0002521",0.72862305584968,6.52032605182606,35.99046048154,6.35365966174889e-05,0.00551752509473778,"UP"
"FBgn0039774",-0.575460627536239,6.19278103452041,35.8583925803285,6.46164890719416e-05,0.00551752509473778,"NotSig"
"FBgn0039955",0.770693193252716,7.13034435486117,35.8548603986852,6.46454806364977e-05,0.00551752509473778,"UP"
"FBgn0260799",0.751808592644119,7.86656793368978,35.2449771050426,6.99215047496767e-05,0.00585711210385378,"UP"
"FBgn0086778",0.572310828480941,8.23487513683047,35.2319956813855,7.00391470324344e-05,0.00585711210385378,"NotSig"
"FBgn0052647",0.653053688031339,7.51544410944199,35.1092842659207,7.11628597783651e-05,0.00589157316105084,"UP"
