FBgn,logFC_Tutorial,qval_Tutorial,logFC_Published,qval_Published,direction_agree,sig_A,sig_B,category,delta_logFC,abs_delta
FBgn0033848,-5.22328370815104,0.00990510049264531,0.83395725249806,0.859091413261955,FALSE,TRUE,FALSE,sig_only_Tutorial,6.0572409606491,6.0572409606491
FBgn0032382,-4.66254778588682,0.0108825234872814,0.0284454343475793,1,FALSE,TRUE,FALSE,sig_only_Tutorial,4.690993220234399,4.690993220234399
FBgn0033442,1.09812082502984,0.00361477802162653,-2.20866497273281,0.37623986866593,FALSE,TRUE,FALSE,sig_only_Tutorial,-3.3067857977626502,3.3067857977626502
FBgn0051014,1.02831800981619,0.143267047009181,-2.23917808530636,0.37623986866593,FALSE,FALSE,FALSE,ns_both,-3.2674960951225502,3.2674960951225502
FBgn0260463,-0.185964645277171,0.592975208676735,2.95419814637006,0.158617402876176,FALSE,FALSE,FALSE,ns_both,3.140162791647231,3.140162791647231
FBgn0040391,0.184689609823065,0.892621050842537,-2.6985690035494,0.229099317646309,FALSE,FALSE,FALSE,ns_both,-2.883258613372465,2.883258613372465
FBgn0034266,0.0379763702607131,0.939454102588729,-2.71360100256869,0.229099317646309,FALSE,FALSE,FALSE,ns_both,-2.751577372829403,2.751577372829403
FBgn0050355,0.510831651982332,0.475440320631659,-2.22368948081689,0.37623986866593,FALSE,FALSE,FALSE,ns_both,-2.7345211327992223,2.7345211327992223
FBgn0030936,0.462729107715662,0.449640359921432,-2.25441365397903,0.37623986866593,FALSE,FALSE,FALSE,ns_both,-2.717142761694692,2.717142761694692
FBgn0052182,0.924154951700623,0.432243003981248,-1.50650775469349,0.613611606977937,FALSE,FALSE,FALSE,ns_both,-2.430662706394113,2.430662706394113
FBgn0035436,-0.090784717135824,0.833880019285238,2.25382668230406,0.344081041583598,FALSE,FALSE,FALSE,ns_both,2.344611399439884,2.344611399439884
FBgn0260458,0.217094906261859,0.784227109256159,-1.971067756212,0.250516166727893,FALSE,FALSE,FALSE,ns_both,-2.188162662473859,2.188162662473859
FBgn0050081,0.66785792004352,0.0607029314816386,-1.49081503154442,0.613611606977937,FALSE,FALSE,FALSE,ns_both,-2.15867295158794,2.15867295158794
FBgn0259963,2.10538671923132,0.0340322569453107,0,1,FALSE,TRUE,FALSE,sig_only_Tutorial,-2.10538671923132,2.10538671923132
FBgn0038421,-0.163197103853883,0.552335609796274,1.82743725982558,0.00253634320821492,FALSE,FALSE,TRUE,sig_only_Published,1.990634363679463,1.990634363679463
FBgn0027584,-0.178493816254519,0.968946793277885,1.80738215507902,0.405094524485992,FALSE,FALSE,FALSE,ns_both,1.985875971333539,1.985875971333539
FBgn0052686,0.456345963174713,0.625831358150383,-1.52248766883579,0.613611606977937,FALSE,FALSE,FALSE,ns_both,-1.9788336320105029,1.9788336320105029
FBgn0266172,1.9779870964074,0.288661466488604,0,1,FALSE,FALSE,FALSE,ns_both,-1.9779870964074,1.9779870964074
FBgn0285970,1.95801609202948,0.475440320631659,0,1,FALSE,FALSE,FALSE,ns_both,-1.95801609202948,1.95801609202948
