FBgn,logFC_Tutorial,qval_Tutorial,logFC_edgeR,qval_edgeR,direction_agree,sig_A,sig_B,category,delta_logFC,abs_delta
FBgn0032382,-4.66254778588682,0.0108825234872814,0.0469294515404718,0.872271376334935,FALSE,TRUE,FALSE,sig_only_Tutorial,4.709477237427292,4.709477237427292
FBgn0034328,-1.20810986017852,0.807772655840222,1.36247652864937,0.631845484810538,FALSE,FALSE,FALSE,ns_both,2.5705863888278904,2.5705863888278904
FBgn0053470,-0.488626902283236,0.827736914267777,1.82036890003725,0.33447022986404,FALSE,FALSE,FALSE,ns_both,2.308995802320486,2.308995802320486
FBgn0027584,-0.178493816254519,0.968946793277885,1.83805498365445,0.493791292202467,FALSE,FALSE,FALSE,ns_both,2.016548799908969,2.016548799908969
FBgn0283461,-0.0115052171600403,0.996889355650307,1.83873245608695,0.321325424460974,FALSE,FALSE,FALSE,ns_both,1.8502376732469903,1.8502376732469903
FBgn0039593,-0.976965834572236,0.77328458989047,0.729880420258307,0.738627787486348,FALSE,FALSE,FALSE,ns_both,1.706846254830543,1.706846254830543
FBgn0267515,1.07500402809245,0.616928543130247,-0.565158718853247,0.677302964066478,FALSE,FALSE,FALSE,ns_both,-1.640162746945697,1.640162746945697
FBgn0053199,-0.0164616127351812,0.955116993739344,1.3944631788512,0.0139668493222825,FALSE,FALSE,TRUE,sig_only_edgeR,1.4109247915863812,1.4109247915863812
FBgn0034329,-0.474009861292374,0.876053993438593,0.935643098348418,0.637507235099526,FALSE,FALSE,FALSE,ns_both,1.409652959640792,1.409652959640792
FBgn0037396,-0.0207778794246846,0.995598175211115,1.23574565753587,0.474010277054845,FALSE,FALSE,FALSE,ns_both,1.2565235369605547,1.2565235369605547
FBgn0034511,-0.12878508597461,0.968037929911835,1.08280327102602,0.589259952220183,FALSE,FALSE,FALSE,ns_both,1.21158835700063,1.21158835700063
FBgn0025583,-0.533110418493304,0.837591943602572,0.641398593457917,0.730306510884172,FALSE,FALSE,FALSE,ns_both,1.174509011951221,1.174509011951221
