FBgn,logFC_edgeR,qval_edgeR,logFC_Published,qval_Published,direction_agree,sig_A,sig_B,category,delta_logFC,abs_delta
FBgn0004186,-2.15649320882577,0.284735373281551,0,1,FALSE,FALSE,FALSE,ns_both,2.15649320882577,2.15649320882577
FBgn0260817,-0.0839477171412208,0.669490874848309,0.0976793546617286,1,FALSE,FALSE,FALSE,ns_both,0.1816270718029494,0.1816270718029494
FBgn0036337,0.109411081534055,0.740736759167129,-0.0650728849080395,0.898384741082824,FALSE,FALSE,FALSE,ns_both,-0.17448396644209452,0.17448396644209452
FBgn0000055,0.0380265027695147,0.928205455800821,-0.107261259884281,1,FALSE,FALSE,FALSE,ns_both,-0.1452877626537957,0.1452877626537957
FBgn0028480,0.0474617177071665,0.827422025846791,-0.0644097895303614,0.944887571808005,FALSE,FALSE,FALSE,ns_both,-0.1118715072375279,0.1118715072375279
FBgn0000370,0.0350811493154982,0.849263521094147,-0.0629202315851065,0.726645491375414,FALSE,FALSE,FALSE,ns_both,-0.0980013809006047,0.0980013809006047
FBgn0036537,0.0648827018353234,0.815244481107207,-0.0162287056208659,1,FALSE,FALSE,FALSE,ns_both,-0.08111140745618929,0.08111140745618929
FBgn0035999,-0.00422955469080854,0.986816864551056,0.0755871496473741,0.986409372514425,FALSE,FALSE,FALSE,ns_both,0.07981670433818265,0.07981670433818265
FBgn0051683,-0.073832462878459,0.802595091330015,0,1,FALSE,FALSE,FALSE,ns_both,0.073832462878459,0.073832462878459
FBgn0030103,0.0420208193783786,0.925024688660547,-0.0314027475592343,1,FALSE,FALSE,FALSE,ns_both,-0.0734235669376129,0.0734235669376129
FBgn0033439,0.0393945920141167,0.970055652796963,-0.0290971530208602,1,FALSE,FALSE,FALSE,ns_both,-0.0684917450349769,0.0684917450349769
FBgn0085248,0.0347289664141414,0.903940766067461,-0.0259378615707122,1,FALSE,FALSE,FALSE,ns_both,-0.0606668279848536,0.0606668279848536
FBgn0051441,0.0267579183719323,0.94564508613827,-0.0322759432275491,1,FALSE,FALSE,FALSE,ns_both,-0.0590338615994814,0.0590338615994814
FBgn0039836,0.0503847043981948,0.917093426448726,-0.00777981226647414,1,FALSE,FALSE,FALSE,ns_both,-0.05816451666466894,0.05816451666466894
FBgn0028936,0.00618156537751066,0.988533258284657,-0.0457773475305127,1,FALSE,FALSE,FALSE,ns_both,-0.05195891290802336,0.05195891290802336
FBgn0262855,-0.0050034681502441,0.991730015409434,0.0466880902949585,1,FALSE,FALSE,FALSE,ns_both,0.051691558445202596,0.051691558445202596
FBgn0033547,0.00330068569947044,0.993696436560846,-0.0482386009813445,1,FALSE,FALSE,FALSE,ns_both,-0.051539286680814936,0.051539286680814936
FBgn0030057,0.0280186494032298,0.925690225126922,-0.0179127852593035,1,FALSE,FALSE,FALSE,ns_both,-0.0459314346625333,0.0459314346625333
FBgn0063449,0.0356220249921081,0.894717800670419,-0.00937836886834747,1,FALSE,FALSE,FALSE,ns_both,-0.04500039386045557,0.04500039386045557
FBgn0028664,0.0398493287653022,0.887837236482102,-0.00448727237321858,1,FALSE,FALSE,FALSE,ns_both,-0.04433660113852078,0.04433660113852078
FBgn0040339,0.0223622167313308,0.93212093915366,-0.0216752966353568,1,FALSE,FALSE,FALSE,ns_both,-0.0440375133666876,0.0440375133666876
FBgn0038146,0.0203592991912416,0.933947212099989,-0.0232147740233419,1,FALSE,FALSE,FALSE,ns_both,-0.043574073214583495,0.043574073214583495
FBgn0008636,0.011524194158327,0.967795802464049,-0.0295713297814732,1,FALSE,FALSE,FALSE,ns_both,-0.0410955239398002,0.0410955239398002
